Function,In_Degree,Out_Degree,Betweenness,PageRank,Is_Entry,Is_Dead
main.c,0,1,0,0.027431996586898,True,False
main,0,2,0,0.027431996586898,True,False
compute_product,1,1,28.5714285714286,0.038507666727834,False,False
compute_series,1,2,42.8571428571429,0.038507666727834,False,False
helper_B,1,2,42.8571428571429,0.038507666727834,False,False
process,1,3,100,0.0390905962889485,False,False
helper_A,1,1,14.2857142857143,0.0437977567567788,False,False
stdio.h,1,0,0,0.050749195990999,False,False
square,2,1,28.5714285714286,0.0601635169266595,False,False
add,2,0,0,0.081025854303299,False,False
multiply,2,0,0,0.111302512615599,False,False
cycle_2,1,1,0,0.218593542474527,False,False
cycle_1,2,1,14.2857142857143,0.224890031285892,False,False
